34196
My Darling Clementine | Linda Darnell | cast_member
Richard Duffy | Swansea | place_of_birth
Batman & Robin (film) | Film | instance_of
Murad Inoyatov | Tashkent | residence
Sivaji (film) | Chennai | narrative_location
The River Wild | John C. Reilly | cast_member
Laurent Gamelon | Boulogne-Billancourt | place_of_birth
License to Wed | Christophe Beck | composer
Christine (1958 film) | Georges Auric | composer
Cannes Man | Filmmaking | main_subject
Herdsmen of the Sun | Werner Herzog | screenwriter
Sunnyside (film) | Comedy | genre
Shadows and Fog | Fred Gwynne | cast_member
La Celestina P... R... | Italian language | original_language_of_film_or_TV_show
Sugar, Honey and Pepper | Italian language | original_language_of_film_or_TV_show
Enter a Murderer | A Man Lay Dead | follows
Bridge of Spies (film) | Film | instance_of
Man Without a Star | Aaron Rosenberg | producer
No Surprise (Daughtry song) | RCA Records | record_label
Celebration (Game song) | Lil Wayne | composer
Shark Bait | Freddie Prinze, Jr. | cast_member
Lady Liberty (film) | Suso Cecchi d'Amico | screenwriter
Viktor Drugov | Metallurg Novokuznetsk | member_of_sports_team
The Clockmaker | Bertrand Tavernier | director
Prelude for War | Simon Templar | part_of_the_series
Philadelphia | Tel Aviv | twinned_administrative_body
Barabbas (1961 film) | Ernest Borgnine | cast_member
Alfred Gomolka | Politician | occupation
The Cat and the Canary (1939 film) | Film | instance_of
Pappa e ciccia | Film | instance_of
Eple | Poor Leno | followed_by
Azerbaijan | Baku | capital
Kenny Rogers | United Artists Records | record_label
Tomadoi Nagara | J Storm | record_label
R.I.P.D. | Ryan Reynolds | cast_member
H to He, Who Am the Only One | Charisma Records | record_label
The Land Before Time XIII: The Wisdom of Friends | The Land Before Time XII: The Great Day of the Flyers | follows
Steel Magnolias | Film | instance_of
Bitter Moon | Canal+ | production_company
Six Degrees of Separation (film) | J. J. Abrams | cast_member
Mark of the Vampire | Elizabeth Allan | cast_member
Kyōryū Sentai Zyuranger | Gosei Sentai Dairanger | followed_by
Indiana Jones and the Last Crusade | George Lucas | producer
White Bird in a Blizzard | France | country_of_origin
Sarah Patton Boyle | Charlottesville, Virginia | place_of_birth
Bowery Buckaroos | Leo Gorcey | cast_member
The Reckoning (Star Trek: Deep Space Nine) | Valiant (Star Trek: Deep Space Nine) | followed_by
Flesh Will Surrender | Gina Lollobrigida | cast_member
Doctor Zhivago (film) | Rod Steiger | cast_member
Pretty Hurts (song) | Beyoncé | performer
Riyadh al Laafi | Libya | country_of_citizenship
Lay Low (Snoop Dogg song) | Master P | performer
Gabrielle Kirk McDonald | Howard University | educated_at
The Book of Eli | Thriller (genre) | genre
Nina, Pretty Ballerina | Björn Ulvaeus | composer
La Camisa Negra | Volverte a Ver | follows
Full Metal Daemon: Muramasa | Visual novel | genre
The Criminal Hypnotist | D. W. Griffith | director
San Antonio (film) | Monte Blue | cast_member
Lawn Dogs | Kathleen Quinlan | cast_member
Birthday Girl | Russian language | original_language_of_film_or_TV_show
Cookie's Fortune | Ned Beatty | cast_member
F.I.S.T. | Brian Dennehy | cast_member
Last Action Hero | Danny DeVito | cast_member
The New York Hat | Lionel Barrymore | cast_member
Carrol Chandler | Legion of Merit | award_received
Dan Sheridan | Encino, Los Angeles | place_of_death
The Dollar-a-Year Man | Karl Brown (cinematographer) | director_of_photography
Ted (Buffy the Vampire Slayer) | David Greenwalt | screenwriter
Conan the Destroyer | Grace Jones | cast_member
Real Balompédica Linense | Segunda División B | league_or_competition
Don 2 | Film | instance_of
The Cop-Killer (short story) | Rex Stout | author
Agrypnus murinus | Agrypnus | parent_taxon
To Rome with Love (film) | Woody Allen | screenwriter
Mission: Impossible III | J. J. Abrams | director
Genoa | Odessa | twinned_administrative_body
Ján Lašák | Zvolen | place_of_birth
It Always Rains on Sunday | Michael Balcon | producer
Alexandre Boikov | Nashville Predators | member_of_sports_team
Jürgen Schmude | Social Democratic Party of Germany | member_of_political_party
Robert Smith (musician) | United Kingdom | country_of_citizenship
Syco Music | United Kingdom | country
Suspect (1987 film) | Billy Williams (cinematographer) | director_of_photography
Dead and Alive (Koontz novel) | Lost Souls (Dean Koontz novel) | followed_by
New Delhi | London | twinned_administrative_body
Take Me Home Tonight (film) | Film | instance_of
My New Partner II | France | country_of_origin
By Love Possessed (film) | Russell Metty | director_of_photography
Wolfen (film) | Albert Finney | cast_member
The Star Reporter | Philip MacDonald | screenwriter
The Great Waldo Pepper | Henry Mancini | composer
Rookie of the Year (film) | Jack N. Green | director_of_photography
3 Ring Circus | Dean Martin | cast_member
Chuck Versus the Third Dimension | Chuck (TV series) | part_of_the_series
Johnnie Turner | University of Tennessee | educated_at
PT 109 (film) | Richard L. Breen | screenwriter
De damescoupeur | Maurits Binger | producer
Shadows and Fog | Robert Greenhut | producer
Japan | Aichi Prefecture | contains_the_administrative_territorial_entity
Doggy Dogg World | Snoop's Upside Ya Head | followed_by
Bayswater tube station | United Kingdom | country
Don Smith (basketball, born 1951) | Point guard | position_played_on_team_/_speciality
Deep Valley | Film | instance_of
Ardabil County | Counties of Iran | instance_of
Saajan | Madhuri Dixit | cast_member
Cape Fear (1991 film) | Robert De Niro | cast_member
Footlight Parade | James Cagney | cast_member
The King and the Mockingbird | Film | instance_of
The Battle (1911 film) | Dell Henderson | cast_member
True Romance | Hans Zimmer | composer
American Gothic (film) | Film | instance_of
Home Alone 2: Lost in New York | John Williams | composer
The Great Flirtation | Milton R. Krasner | director_of_photography
Ted Walsh | Jockey | occupation
No Sleeep | Janet Jackson | performer
Dalaal | Bappi Lahiri | composer
The Ox-Bow Incident | Cyril J. Mockridge | composer
Woman Times Seven | Robert Morley | cast_member
.45 (film) | William M. Anderson | film_editor
Sangraam | Karisma Kapoor | cast_member
Romance of the Three Kingdoms III: Dragon of Destiny | Compact disc | distribution_format
Who's That Man | Toby Keith | performer
Harichandra (1968 film) | Sivaji Ganesan | cast_member
Mr. Deeds Goes to Town | Howard Jackson (composer) | composer
Sobir Rakhimov | Tashkent | place_of_birth
The Arcadians (film) | John Longden | cast_member
Maro Charitra (1978 film) | Film | instance_of
Carl Jess | World War I | conflict
I'm on One | Cash Money Records | record_label
In Search of the Castaways (film) | Maurice Chevalier | cast_member
Tehran | Iran | country
Hanover Street (film) | Lesley-Anne Down | cast_member
Ludacris | African Americans | ethnic_group
Dynasty Tactics 2 | Koei | publisher
Armageddon (1998 film) | Film | instance_of
Yuri Butsayev | HC Lada Togliatti | member_of_sports_team
The Warrior and the Sorceress | Film | instance_of
Mamma mia, che impressione! | Carlo Montuori | director_of_photography
Unification (Star Trek: The Next Generation) | Star Trek: The Next Generation | part_of_the_series
Love Like This (Natasha Bedingfield song) | Sean Kingston | performer
Number One Spot | Ludacris | performer
In the Game | Christine Baranski | cast_member
Léon: The Professional | Danny Aiello | cast_member
Qayamat | Shakti Kapoor | cast_member
Everybody Knows (John Legend song) | John Legend | performer
The Black Donnellys | NBC | original_broadcaster
Police Academy (film) | Kim Cattrall | cast_member
Assault on Precinct 13 (2005 film) | Film | instance_of
My Girl (film) | Film | instance_of
One Minute Man | Rollout (My Business) | follows
Predrag Marković | Historian | occupation
Arrivano i bersaglieri | Armando Trovajoli | composer
Big Hits (High Tide and Green Grass) | The Rolling Stones | performer
Crooked Lake Park, Florida | Polk County, Florida | located_in_the_administrative_territorial_entity
Tender Mercies | Robert Duvall | cast_member
The Tomb of Ligeia | Samuel Z. Arkoff | producer
The Way I Am (Eminem song) | Eminem | performer
Speed Racer in My Most Dangerous Adventures | Accolade (game company) | publisher
Halloween (2007 film) | William Forsythe (actor) | cast_member
Ghulam-E-Mustafa | Aruna Irani | cast_member
Captain Lightfoot | Irving Glassberg | director_of_photography
The Glory Guys | Senta Berger | cast_member
Peter Jackson (rugby league) | Leeds Rhinos | member_of_sports_team
Kars | Turkey | country
Mallrats | Kevin Smith | screenwriter
Black Robe (film) | Peter James (cinematographer) | director_of_photography
Citizen X | Docudrama | genre
Georges Frêche | France | country_of_citizenship
The Conspirator | Lionsgate Films | distributed_by
The Compleat Beatles | Little Richard | cast_member
Willem Johannes Leyds | University of Amsterdam | educated_at
Red Dragon (film) | Dino De Laurentiis | producer
November Rain | Knockin' on Heaven's Door | follows
Zombieland | Film | instance_of
Ilkka Heikkinen | HC Lugano | member_of_sports_team
Peter Pan (2003 film) | James Newton Howard | composer
Iron Man (1931 film) | Jean Harlow | cast_member
Leaving Louisiana in the Broad Daylight | The Oak Ridge Boys | performer
Mutiny on the Bounty (1935 film) | Frank Lloyd | director
The Valley of Decision | Blanche Sewell | film_editor
Hédi Annabi | Port-au-Prince | place_of_death
Toshiro Mifune | Japan | residence
Consuelo N. Bailey | Lawyer | occupation
Michael Nylander | HC Lugano | member_of_sports_team
Leave in Silence | Depeche Mode | performer
Charles C. Adams, Jr. | University of Virginia School of Law | educated_at
Kaala Patthar | Sanjeev Kumar | cast_member
Daughters of Pleasure | Monte Blue | cast_member
Betrayed (1917 film) | Monte Blue | cast_member
Ploshchad Alexandra Nevskogo II (Saint Petersburg Metro) | Saint Petersburg Metro | part_of
James Wong Howe | Hollywood | place_of_death
Robert Horne, 1st Viscount Horne of Slamannan | Politician | occupation
Botswana | Botswana | country
Grey Gardens (2009 film) | Rachel Portman | composer
Crank: High Voltage | Brandon Trost | director_of_photography
Dumb and Dumberer: When Harry Met Lloyd | Eric Christian Olsen | cast_member
Evgeny Lapenkov | Moscow | place_of_birth
Nirmalyam | Film | instance_of
The Last Man (1955 film) | Film | instance_of
Dharmendra | Politician | occupation
Dwight Bialowas | Atlanta Flames | drafted_by
Baba Jan, East Azerbaijan | Qeshlaq Rural District (Ahar County) | located_in_the_administrative_territorial_entity
Mirza Davud Huseynov | Azerbaijan | country_of_citizenship
John the Baptist | Roman Empire | time_period
New Castle County, Delaware | Wilmington, Delaware | capital
Dhanwan (1993 film) | Film | instance_of
Fatal Fury 2 | TurboGrafx-16 | platform
No Compromises | J. Michael Straczynski | screenwriter
Batman: Mystery of the Batwoman | Warner Home Video | distributed_by
Narrow Margin | Peter Hyams | director
Already Home (Thousand Foot Krutch song) | Fire It Up (Thousand Foot Krutch song) | follows
Marko Jantunen | Lahti Pelicans | member_of_sports_team
Isolate and Medicate | Holding Onto Strings Better Left to Fray | follows
Petronius | Politician | occupation
Here We Go Again (Governor song) | G-Unit Records | record_label
School Ties | Maurice Jarre | composer
Suspicion (1941 film) | Alfred Hitchcock | director
Seishun on the Road | Sweet Suicide Summer Story | follows
Neil Young | The Beatles | influenced_by
Country Boy (Alan Jackson song) | Arista Nashville | record_label
Arthur 3: The War of the Two Worlds | Arthur and the Revenge of Maltazard | follows
Vagdanam | Girija (actress) | cast_member
Too Late the Hero (film) | Robert Aldrich | director
Conspiracy (2001 film) | HBO | distributed_by
Little Nicky | Tom Lister Jr. | cast_member
Casanova 70 | Aldo Tonti | director_of_photography
See You (song) | Depeche Mode | performer
The Sensual Man | Nino Baragli | film_editor
Maybe (Toni Braxton song) | Snowflakes of Love | followed_by
George H. Morgan | World War I | conflict
Gérard de Villiers | France | country_of_citizenship
Andrei Stepanov (ice hockey) | Torpedo Nizhny Novgorod | member_of_sports_team
The Comancheros (film) | John Wayne | director
From Dusk till Dawn | Film | instance_of
Dream Fighter | Yasutaka Nakata | composer
The Sims 3: Ambitions | Life simulation game | genre
Three Smart Saps | Hugh McCollum | producer
Now and Forever (1956 film) | Associated British Picture Corporation | distributed_by
Dobra devojka | Pomisli želju | follows
Executive Decision | Jerry Goldsmith | composer
The Midnight Patrol | Art Lloyd | director_of_photography
Barbary Coast (film) | Edward G. Robinson | cast_member
Tarzan Escapes | Maureen O'Sullivan | cast_member
Veerasamy | Film | instance_of
Charles B. Pierce | Film director | occupation
Ed Begley | Hollywood | place_of_death
Claude Lanthier | Politician | occupation
North Carolina State University | University of North Carolina | parent_organization
Troy (film) | Film | instance_of
Call Girl (Family Guy) | Family Guy | part_of_the_series
Kumar Bhattacharyya, Baron Bhattacharyya | University of Birmingham | educated_at
Michael Jackson | Film director | occupation
