21274
Gilles Mbang Ondo | Libreville | wasBornIn
Adehim Niftaliyev | Khazar Lankaran FK | isAffiliatedTo
Walter Scharf | Las Vegas Nights | wroteMusicFor
Damon Wayans | Mo' Money | created
Francesco Rosi | Roman Tales (film) | created
Sammi Cheng | Triumph in the Skies (film) | actedIn
Anne Bancroft | Marco Polo (miniseries) | actedIn
Qaleh-ye Mohammad Aqa | Kharqan Rural District (Semnan Province) | isLocatedIn
Hideaki Takeda | FB Gulbene | playsFor
Nikolay Kiselyov (footballer) | FC Zorya Luhansk | playsFor
Kenny Vigier | US Raon-l'Étape | isAffiliatedTo
Sergio Martino | 2019, After the Fall of New York | created
Eskimo Joe | Wake Up (Eskimo Joe song) | created
Alexandre Edílson de Freitas | FC Kreuzlingen | playsFor
Thijs Sluijter | Heracles Almelo | playsFor
Thelma Ritter | Lucy Gallant | actedIn
Amrish Puri | Hawalaat | actedIn
Irving Cummings | The World's Great Snare | actedIn
Velibor Kopunović | VB Vágur | playsFor
Ronald Davidson | G-Men vs. the Black Dragon | created
Aleksandr Vladimirov | FC Lokomotiv Saint Petersburg | isAffiliatedTo
Kristin Chenoweth | Tony Award | hasWonPrize
Josh Todd | Mitzi Martin | isMarriedTo
Ray Liotta | Heartbreakers (2001 film) | actedIn
Bon Scott | Dog Eat Dog (song) | created
Marvin Isley | Living Better Now | created
Rolando Barra | Sport Boys Warnes | playsFor
Ralph Bellamy | West of Broadway (1931 film) | actedIn
Andrzej Wajda | The Possessed (1988 film) | directed
Miroslav Rikanović | FK Radnički Sombor | isAffiliatedTo
Michael Powell | The Elusive Pimpernel | directed
Tamás Mocsai | Dunaferr SE (men's handball) | playsFor
Chavit Singson | Nacionalista Party | isAffiliatedTo
Lajos Bíró | The Man Who Could Work Miracles | created
Jude Aneke | Al-Masry SC | isAffiliatedTo
Ivan Tsvetkov | PFC Levski Sofia | isAffiliatedTo
Khazakdar | Damavand County | isLocatedIn
Lana Turner | Bittersweet Love | actedIn
Nikita Gigolayev | FC Olimpia Gelendzhik | playsFor
Ryan McMahen | Austin Aztex | playsFor
Klodian Duro | Albania | isCitizenOf
Sarah Connor (singer) | Takin' Back My Love | created
Brandon Smith (politician) | Hazard, Kentucky | livesIn
Marshall Brickman | Intersection (1994 film) | created
Suresh Gopi | Midhya | actedIn
Flow (band) | Dream Express (song) | created
José Carlos Serrão | Grêmio Esportivo Juventus | isAffiliatedTo
John Scott Sherrill | That Rock Won't Roll | created
Dimitri Tiomkin | Land of the Pharaohs | wroteMusicFor
Roddy McDowall | The Poseidon Adventure (1972 film) | actedIn
William Steinkamp | The Express | edited
Franco Nero | Breath of Life (1990 film) | actedIn
Rachael Axon | Ottawa Fury Women | isAffiliatedTo
Illeana Douglas | Stir of Echoes | actedIn
Gene Ruggiero | Big City (1948 film) | edited
Monique van de Ven | Amsterdamned | actedIn
Socialist Republic of Serbia | Serbo-Croatian | hasOfficialLanguage
Alessandro Cicognini | First Love (1941 film) | wroteMusicFor
Cecilio Waterman | Río Abajo F.C. | isAffiliatedTo
Maureen O'Sullivan | John Farrow | isMarriedTo
Garry Marsh | C.O.D. (film) | actedIn
Alfred Sabin | Oldbury United F.C. | playsFor
Blythe Danner | Lovin' Molly | actedIn
Seena Owen | Shipwrecked (1926 film) | actedIn
Mikhail Zubchuk | FC Uralan Plus Moscow | isAffiliatedTo
Deborah Lurie | The Betrayed (2008 film) | wroteMusicFor
Achille Campion | Norrby IF | isAffiliatedTo
Cor Pot | HFC Haarlem | isAffiliatedTo
Jon Voight | Casting By | actedIn
Richard Dix | No Marriage Ties | actedIn
Roman Voynarovskyi | FC Dynamo Saky | isAffiliatedTo
Ed Asner | The Gathering (1977 film) | actedIn
Bruno Barbosa da Encarnação | Atlético Clube Goianiense | playsFor
Ezequiel Arana | San Fernando CD | isAffiliatedTo
C. Gardner Sullivan | Strangers of the Night | created
Holly Woodlawn | Tally Brown, New York | actedIn
Ralph Rosenblum | Fail Safe (1964 film) | edited
Akim Tamiroff | The Magnificent Fraud | actedIn
Casey Affleck | The Last Kiss (2006 film) | actedIn
Indraadip Dasgupta | Chander Pahar (film) | wroteMusicFor
Donald Pleasence | Oh, God! | actedIn
John Miljan | The Unholy Three (1930 film) | actedIn
Rita Ora | Body on Me (Rita Ora song) | created
Michel Colombier | Cop (film) | wroteMusicFor
Trevor Rabin | National Treasure (film) | created
Ida Lupino | The Big Knife | actedIn
Len Phillips | Royal Marines | isAffiliatedTo
Forrest Taylor | The Fighting Devil Dogs | actedIn
Laya (actress) | Tata Birla Madhyalo Laila | actedIn
Bart Latuheru | AZ Alkmaar | isAffiliatedTo
Dorothy Jordan (American actress) | 70,000 Witnesses | actedIn
Kamel Larbi | US Sénart-Moissy | playsFor
Kavya Madhavan | Khaddama | actedIn
Islam Mohamed Zaky Sarhan | Tala'ea El-Gaish SC | playsFor
Benny Blanco | Reston, Virginia | wasBornIn
Gima Keimolo | Papua New Guinea | wasBornIn
Christopher Young | The Gift (2000 film) | wroteMusicFor
Dominic Purcell | Suddenly (2013 film) | actedIn
Arthur Treacher | The Little Princess (1939 film) | actedIn
Hugo López Martínez | UD Almería B | playsFor
Giorgio Simonelli | Two Sons of Ringo | directed
Indrajith Sukumaran | City of God (2011 film) | actedIn
Siim Luts | IFK Norrköping | isAffiliatedTo
Alessandro Blasetti | Father's Dilemma | directed
Drew Barrymore | He's Just Not That Into You (film) | actedIn
Vyacheslav Protsenko | FC Energiya Chaykovsky | isAffiliatedTo
Paul Rudd | 200 Cigarettes | actedIn
Mike Lapper | Los Angeles Heat | isAffiliatedTo
John Hargreaves (actor) | The Place at the Coast | actedIn
Whoopi Goldberg | Eddie (film) | actedIn
Jimmy Bennett | Alabama Moon (film) | actedIn
J. P. Chandrababu | Adimaippenn | actedIn
Philip Cahn | Youth Takes a Fling | edited
Green Day | Hitchin' a Ride (Green Day song) | created
Paul Muni | Lviv | wasBornIn
Renato Augusto de Assis Pinto | Atlético Clube Goianiense | playsFor
Tina Ellertson | Saint Louis Athletica | playsFor
Saif Ali Khan | Hameshaa | actedIn
Vincenzo Cerami | A Leap in the Dark | created
Thomas Dossevi | ASOA Valence | isAffiliatedTo
Roman Stepanov | FC Skala Stryi | playsFor
Eskimo Joe | Sarah (Eskimo Joe song) | created
Corentin Jean | France national under-18 football team | isAffiliatedTo
L. S. Lowry | Master of Arts | hasWonPrize
Conrad A. Nervig | A Lady to Love | edited
Ramon Novarro | Laughing Boy (film) | actedIn
Frank Oz | The Muppets Take Manhattan | directed
Tamar Braxton | Let Me Know (Tamar Braxton song) | created
Steven Perry | Wilmington Hammerheads FC | playsFor
Brian Clemens | Captain Kronos – Vampire Hunter | directed
Coldplay | Yellow (Coldplay song) | created
Armin Mueller-Stahl | Utz (film) | actedIn
Nancy Sinatra | Speedway (1968 film) | actedIn
Giampaolo Parisi | A.S.D. Castel di Sangro Calcio | playsFor
Ben Elton | Oil (The Young Ones) | created
Thomas Kläsener | FC Schalke 04 II | playsFor
David Giancola | Time Chasers | directed
James Woods | Salvador (film) | actedIn
Ilan Boccara | Evian Thonon Gaillard F.C. | isAffiliatedTo
Hajjiabad-e Khvoriad | Semnan County | isLocatedIn
Sergio Martino | Cornetti alla crema | directed
Aferdita Kameraj | BV Cloppenburg (women) | playsFor
Roy Del Ruth | Private Number (1936 film) | directed
Burton L. King | Extravagance (1916 film) | directed
Denis Silva | Khazar Lankaran FK | isAffiliatedTo
Zouheir Dhaouadi | Al-Wehda Club (Mecca) | isAffiliatedTo
Gustavo Santaolalla | Argentina | isCitizenOf
Stewart Copeland | Fresh (1994 film) | wroteMusicFor
Aston Martin | Warwickshire | isLocatedIn
Tony Donatelli | Ocean City Nor'easters | playsFor
Omri Elmakyes | Ironi Tiberias F.C. | playsFor
Melvyn Douglas | The Amazing Mr. Williams | actedIn
Janagaraj | Apoorva Sagodharargal (1989 film) | actedIn
Billy Gibbons | Doubleback (song) | created
Ed Hill | Georgia Rain | created
Patrick Newell | The Golden Lady | actedIn
Robert Liebmann | Man Against Man | created
Kerbi Rodríguez | Club Barcelona Atlético | isAffiliatedTo
Robert Livingston (actor) | The Kansas Terrors | actedIn
J. Farrell MacDonald | County Fair (1937 film) | actedIn
David Raksin | Mean Johnny Barrows | wroteMusicFor
Broderick Crawford | Undercover Doctor | actedIn
Teddy Riley | Don't Leave Me | created
Rachel Portman | The Cider House Rules (film) | wroteMusicFor
Wynne Gibson | The Captain Hates the Sea | actedIn
Arthur Wimperis | Young Bess | created
Sam Bailey | Skyscraper (song) | created
Troy Verges | Tonight I Wanna Be Your Man | created
Juelz Santana | You Ain't Got Nuthin | created
Chris Dickens | Paul (film) | edited
Adrian Cuciula | CF Liberty Oradea | playsFor
Isabelle Adjani | French Women (film) | actedIn
Fabio Paratici | S.S.C. Giugliano | playsFor
Michaël Niçoise | Guadeloupe national football team | isAffiliatedTo
Umberto Massimo Lattuca | Frosinone Calcio | playsFor
Lance Comfort | Escape to Danger | directed
Danger Mouse (musician) | Bullet in the Brain | created
Grover Jones | The Light of Western Stars (1930 film) | created
Amy Poehler | Hoodwinked Too! Hood vs. Evil | actedIn
Michel Lafranceschina | Bourges 18 | isAffiliatedTo
Salil Chowdhury | Biraj Bahu | wroteMusicFor
Salvatore Nobile | S.S.D. Casarano Calcio | isAffiliatedTo
John Stuart (actor) | Kitty (1929 film) | actedIn
Eugene Chien | Taoyuan, Taiwan | wasBornIn
Kelechi Osunwa | Ismaily SC | playsFor
Aimar Sagastibelza | CD Teruel | playsFor
Vincenzo Cerami | Mimsy Farmer | isMarriedTo
Ty Dolla Sign | Post to Be | created
Barbara Crampton | From Beyond (film) | actedIn
John Loder (actor) | Money for Speed | actedIn
Nile Rodgers | The Jam Was Moving | created
Lisa Fruchtman | Normal (2003 film) | edited
Frances Dee | Patrick the Great | actedIn
Brock Duckworth | Wilmington Hammerheads FC | playsFor
Darren Mansaram | Armthorpe Welfare F.C. | playsFor
Kristian Asmussen | SC Magdeburg | isAffiliatedTo
Mai Zetterling | The Truth About Women | actedIn
Erich von Stroheim | La Grande Illusion | actedIn
Marek Kubisz | GKS Jastrzębie | isAffiliatedTo
Richard Jenkins | Me, Myself & Irene | actedIn
Neblú | Atlético Sport Aviação | isAffiliatedTo
Masoud Mikaeili | Pegah F.C. | isAffiliatedTo
Trisha (actress) | Thoongaa Vanam | actedIn
Iain Archer | Bangor, County Down | wasBornIn
Yawhen Zhuk | FC Luninets | isAffiliatedTo
Michael Haneke | Benny's Video | directed
Norma Aleandro | Cleopatra (2003 film) | actedIn
Ramon Novarro | Mata Hari (1931 film) | actedIn
Blythe Danner | Paul (film) | actedIn
Luiz Antonio Linhares Garcia | Clube 15 de Novembro | playsFor
Kellie Pickler | I Wonder (Kellie Pickler song) | created
Éamon Zayed | Indy Eleven | isAffiliatedTo
Lárus Sigurðsson | Þór Akureyri | playsFor
Malcolm McDowell | Super Rhino | actedIn
Stephen Rea | Utopia (UK TV series) | actedIn
André Dussollier | The Children of the Marshland | actedIn
Victor Saville | The Silver Chalice (film) | directed
Damon Wayans | Blankman | actedIn
Frank Kooiman | VVV-Venlo | isAffiliatedTo
Ernest L. Blumenschein | Albuquerque, New Mexico | diedIn
Ross Nicholson | Manawatu United | isAffiliatedTo
Lárus Sigurðsson | Akureyri | wasBornIn
Garth Brooks | Steve Wariner | isMarriedTo
Jean Halain | Perched on a Tree | created
Trisha (actress) | Aaytha Ezhuthu | actedIn
David Rosenbloom | Out of the Furnace | edited
Lutz Pfannenstiel | Vancouver Whitecaps (1986–2010) | isAffiliatedTo
Rick Jones (voice actor) | The Care Bears in the Land Without Feelings | actedIn
Ugo Tognazzi | I mostri | actedIn
Sindou Dosso | Stella Club d'Adjamé | playsFor
Bruno Corbucci | Questo pazzo, pazzo mondo della canzone | directed
Käthe von Nagy | I by Day, You by Night | actedIn
Fat Joe | Holla at Me | created
Miljan Radović | NK Šmartno 1928 | playsFor
Timothy Bottoms | Tin Man (1983 film) | actedIn
Randy Couture | The Expendables 2 | actedIn
Bruce Greenwood | Déjà Vu (2006 film) | actedIn
Candice Bergen | The Hunting Party (1971 film) | actedIn
Peter Yeldham | Our Man in Marrakesh | created
Trevor Nunn | King Lear (2008 film) | directed
B. Reeves Eason | Around the World in Eighteen Days | directed
O. P. Nayyar | Miss Coca Cola | wroteMusicFor
Björn Ulvaeus | Waterloo (ABBA song) | created
Alfred Hitchcock | Psycho (franchise) | directed
João Resende Alves | A.D. Sanjoanense | playsFor
Charlotte Burton | Old Enough to Be Her Grandpa | actedIn
Manolo Pestrin | Frosinone Calcio | playsFor
Kunal Kohli | Thoda Pyaar Thoda Magic | created
Jean Gabin | La Bête Humaine (film) | actedIn
Dudley Moore | Wholly Moses! | actedIn
David Mamet | Redbelt | created
David Mamet | Edmond (film) | created
Anthony Kalik | Manly United FC | playsFor
Olga Petrova | Bridges Burned | created
Henry Silva | The Harvest (1993 film) | actedIn
Claude Chabrol | Betty (film) | directed
Channing Tatum | Step Up (film series) | actedIn
F. Murray Abraham | Marco Polo (miniseries) | actedIn
Cesare Zavattini | Bellissima (film) | created
MachoPsycho | Bad Influence (song) | created
Saiju Kurup | Mulla (film) | actedIn
Kalpana (Kannada actress) | Kattila Thottila | actedIn
Christopher Young | Invaders from Mars (1986 film) | wroteMusicFor
Sean Garrett | Now That You Got It | created
Christopher Tellefsen | Joy (film) | edited
Merry Anders | The Walking Target | actedIn
Dale Robertson | Blood on the Arrow | actedIn
Gulf War | Argentina | happenedIn
Khishigdalain Battulga | Mongolia national football team | isAffiliatedTo
Eda Warren | Secret of the Incas | edited
Malcolm Young | Big Jack (song) | created
Iain Archer | Slumville Sunrise | created
Rainer Werner Fassbinder | In a Year of 13 Moons | created
Theodor Mommsen | University of Kiel | graduatedFrom
Alan Cumming | Company Man (film) | actedIn
Lena Olin | Lasse Hallström | isMarriedTo
Rochelle Hudson | Mr. Moto Takes a Chance | actedIn
Viswanathan–Ramamoorthy | Káthirunda Kangal | created
Harvey Keitel | That's the Way of the World (film) | actedIn
Suso Cecchi d'Amico | I Vinti | created
John Stone (producer) | Peter Stone | hasChild
Pacific War | Papua New Guinea | happenedIn
Jack Conway (filmmaker) | Lady of the Tropics | directed
Giorgi Alaverdashvili | FK Šiauliai | isAffiliatedTo
Jack Nitzsche | Without a Trace (film) | wroteMusicFor
Subhasish Mukhopadhyay | Sudhu Ekbar Bolo | actedIn
Killing Joke | Let's All Go (To the Fire Dances) | created
Vineeth | Gentleman (1993 film) | actedIn
Liu Ye (actor) | A Beautiful Life (2011 film) | actedIn
Shunji Iwai | Picnic (1996 film) | created
Claude Bachand | Saint-Jean-sur-Richelieu | wasBornIn
Gerard Butler | Movie 43 | actedIn
Stanley Donen | Staircase (film) | directed
Chris Veselka | TuS Celle FC | isAffiliatedTo
Lilla Sipos | Viktória FC-Szombathely | playsFor
Michael Richards | Transylvania 6-5000 (1985 film) | actedIn
Lady Gaga | Venus (Lady Gaga song) | created
Roger Bart | Tony Award | hasWonPrize
Ed. Weinberger | Mr. Smith (TV series) | created
Charles Sellon | Easy Come, Easy Go (1928 film) | actedIn
Stephen E. Rivkin | Stealth (film) | edited
Leif Erickson (actor) | Invaders from Mars (1953 film) | actedIn
Diego Orejuela | Palamós CF | playsFor
Mabel Poulton | London Borough of Merton | diedIn
Kambiz Hosseini | Rasht | wasBornIn
Daniel Auteuil | Monsieur Papa (1977 film) | actedIn
Igors Labuts | FB Gulbene | playsFor
Kasthuri Raja | Ettupatti Rasa | directed
Divandar | Tabas Rural District | isLocatedIn
Sam, Benin | Kandi, Benin | isLocatedIn
Kirk Wong | The Big Hit | directed
Brion James | The King Is Alive | actedIn
Sri Lanka Railways | Sri Lanka | isLocatedIn
Luke Moore (footballer, born 1988) | Ebbsfleet United F.C. | playsFor
Jack Richardson (actor) | Heart of Flame | actedIn
Aftab Shivdasani | Mast (film) | actedIn
Ian White (footballer) | Portals Athletic F.C. | isAffiliatedTo
Shemp Howard | Malice in the Palace | actedIn
Roberto Saporiti | Independiente Medellín | isAffiliatedTo
Rituparna Sengupta | Sindurer Adhikar | actedIn
Hortensia Herrero | Mercadona | owns
Sean Lau | Himalaya Singh | actedIn
Connie Britton | Angels Sing | actedIn
Koshku, Fars | Eshkanan District | isLocatedIn
Jeremy Lloyd | Vampira (1974 film) | created
Juan Ignacio Mercier | Club Social y Deportivo Tristán Suárez | isAffiliatedTo
Thritthi Nonsrichai | Bangkok Christian College F.C. | playsFor
Jane Ross (footballer) | Scotland women's national football team | isAffiliatedTo
Danny Barber | Cincinnati Silverbacks | playsFor
Hallandale Beach, Florida | Florida | isLocatedIn
Myrna Loy | Stamboul Quest | actedIn
Joan Blondell | Broadway Gondolier | actedIn
Eise Aden Abshir | Pietà Hotspurs F.C. | playsFor
Gerd Roggensack | Borussia Dortmund | isAffiliatedTo
Daniel Vădrariu | CS Juventus București | isAffiliatedTo
Felix Adler (screenwriter) | Fiddlers Three (1948 film) | created
Zoltan Korda | The Drum (1938 film) | directed
Priyanka Chopra | I Can't Make You Love Me | created
Billy Currie | Quiet Men | created
Kerry Fox | Country Life (film) | actedIn
Cecil Parker | The Weaker Sex | actedIn
Jessica Tandy | Hume Cronyn | isMarriedTo
Christian Edwards | Forest Green Rovers F.C. | isAffiliatedTo
Darran Kempson | Forest Green Rovers F.C. | isAffiliatedTo
Julio César de Andrade Moura | Treze Futebol Clube | playsFor
Jayasurya | Classmates (2006 film) | actedIn
Joan Blondell | Broadway Bad | actedIn
Alex Cord | Stagecoach (1966 film) | actedIn
Alexis Weisheim | Argentina | isCitizenOf
Ivan Pedrelli | S.S. Ischia Isolaverde | isAffiliatedTo
Adem Alkaşi | Dardanel Spor A.Ş. | playsFor
Wachira Sangsri | Bangkok Glass F.C. | playsFor
João Oliveira Pinto | G.D. Estoril Praia | playsFor
Jon Bon Jovi | Lay Your Hands on Me | created
Piero De Bernardi | Pappa e ciccia | created
Lee Tracy | She Got What She Wanted | created
Dragan Stojkić | NK Samobor | playsFor
Rajat Kapoor | Teree Sang | actedIn
Tal Ayela | Maccabi Ironi Bat Yam F.C. | playsFor
Luther Campbell | Banned in the U.S.A. | created
Morgan Freeman | Bopha! | directed
Corby Moore | Forest Green Rovers F.C. | playsFor
Cary Grant | Dream Wife | actedIn
Ralph Bellamy | The Secret Six | actedIn
John Agar | Young Fury | actedIn
Arlene Dahl | Jamaica Run | actedIn
Sidney Blackmer | People Will Talk | actedIn
Chi. Udayashankar | Vasantha Poornima | created
Rachel Portman | Because of Winn-Dixie (film) | wroteMusicFor
John Barry (composer) | The Scarlet Letter (1995 film) | wroteMusicFor
Giuseppe Becce | The Marriage of Luise Rohrbach | wroteMusicFor
Salah Abu Seif | The Monster (1954 film) | directed
Sayaji Shinde | Adharm (2006 film) | actedIn
Jon Voight | Ali (film) | actedIn
Richard E. Grant | Henry & June | actedIn
Alex James (musician) | Lonesome Street | created
El Dorado, Kansas | Kansas | isLocatedIn
James Mason | Voyage of the Damned | actedIn
Brenda Marshall | Footsteps in the Dark (film) | actedIn
Stephen Lucey | Croom GAA | playsFor
Rama Sithanen | Mauritius | isPoliticianOf
WTVA | Tupelo, Mississippi | isLocatedIn
Christian Slater | Interview with the Vampire (film) | actedIn
Tamás Mocsai | TSV Hannover-Burgdorf | isAffiliatedTo
Eddy Viator | Granada 74 CF | isAffiliatedTo
Horace Lamb | Smith's Prize | hasWonPrize
Virginia Weidler | Best Foot Forward (film) | actedIn
Jeremy Lloyd | Joanna Lumley | isMarriedTo
Aliabad, Kharanaq | Rabatat Rural District | isLocatedIn
Ti Lung | The Deadly Duo | actedIn
Peter Barnes (playwright) | Enchanted April (1992 film) | created
Eduard Cristian Zimmermann | FC Gloria Buzău | playsFor
Gerry Sweeney | Forest Green Rovers F.C. | isAffiliatedTo
Dumitru Dolgov | FC Nistru Otaci | isAffiliatedTo
Hedy Lamarr | I Take This Woman (1940 film) | actedIn
Paul Giamatti | Big Momma's House | actedIn
James Earl Jones | The Second Civil War | actedIn
Karunas | Iyarkai | actedIn
Ranko Đorđić | IFK Norrköping | isAffiliatedTo
Frank Launder | The Pure Hell of St Trinian's | directed
Brandon Flowers | Joel the Lump of Coal | created
Luciano Mutasi | Equatorial Guinea national football team | isAffiliatedTo
Zoran Šaraba | FK Budućnost Krušik 2014 | isAffiliatedTo
Pat O'Brien (actor) | Man Alive (1945 film) | actedIn
Anne Bancroft | Delgo (film) | actedIn
Anton Nistl | San Diego Nomads | playsFor
Nabil Naïli | CA Bordj Bou Arréridj | playsFor
Shemp Howard | Fling in the Ring | actedIn
Arun Vijay | Iyarkai | actedIn
John Hnatyshyn | Progressive Conservative Party of Canada | isAffiliatedTo
Khurin, Damavand | Damavand County | isLocatedIn
Carlos R. Imperial | Nationalist People's Coalition | isAffiliatedTo
Robert Palmer (singer) | Can We Still Be Friends | created
Hugo Lloris | France national under-18 football team | isAffiliatedTo
Ed Bogas | Life Is a Circus, Charlie Brown | created
Oliver Stone | Heaven & Earth (1993 film) | directed
Sidney Gilliat | Mr. Proudfoot Shows a Light | created
Shawn Boney | Detroit Rockers | playsFor
Laura Fraser | The Flying Scotsman (2006 film) | actedIn
Andrei Bryukhanov | FC Energiya Chaykovsky | playsFor
Ahmed al Masli | El-Entag El-Harby SC | isAffiliatedTo
Roja (actress) | Annamayya (film) | actedIn
Sead Salahović | FK Zvezdara | playsFor
Tate Donovan | Memphis Belle (film) | actedIn
Max von Sydow | Citizen X | actedIn
Courtney B. Vance | The Adventures of Huck Finn (1993 film) | actedIn
Tredegar | Gwent (county) | isLocatedIn
Leona Lewis | Outta My Head (Leona Lewis song) | created
Deh Now, Yazd | Central District (Yazd County) | isLocatedIn
Sean Connery | The Man Who Would Be King (film) | actedIn
Chris Martin | Hymn for the Weekend | created
Lily Allen | Wales | isCitizenOf
John Scott (composer) | Jules Verne's Rocket to the Moon | wroteMusicFor
José Manuel Roca Cases | Palamós CF | isAffiliatedTo
Sameera Reddy | Plan (film) | actedIn
K'naan | Summer Paradise | created
Burt Lancaster | Executive Action (film) | actedIn
Bud Abbott | In Society | actedIn
Mo B. Dick | I Miss My Homies | created
Haley Kopmeyer | Brisbane Roar FC (W-League) | isAffiliatedTo
Albert Bassermann | Women's Sacrifice | actedIn
Nirupa Roy | Chhaya (film) | actedIn
Joan Sims | Carry On Emmannuelle | actedIn
Leroy Shield | Canned Fishing | wroteMusicFor
Danny Hall (footballer) | Celtic Nation F.C. | isAffiliatedTo
Alberto Noguera | Madrid | wasBornIn
Selena | Bidi Bidi Bom Bom | created
Robert Davi | Astoria, Queens | wasBornIn
Robert Kent (actor) | Mr. Moto Takes a Chance | actedIn
Ricardo Costa (Portuguese footballer, born 1973) | S.C. Campomaiorense | playsFor
Giorgi Alaverdashvili | FC Borjomi | playsFor
Maithripala Sirisena | Sri Lanka | isCitizenOf
Lee Grant | Plaza Suite (film) | actedIn
Ralph Murphy | Red Stallion in the Rockies | wroteMusicFor
Ed Begley | Tony Award | hasWonPrize
Simone Böhme | Bjerringbro-Silkeborg | playsFor
John Dighton | Sailors Three | created
Robert Taylor (actor) | Private Number (1936 film) | actedIn
Demetrios Christodoulou | John Archibald Wheeler | hasAcademicAdvisor
Jim Cummings | A Very Merry Pooh Year | actedIn
Saafi Boulbaba | MC El Eulma | isAffiliatedTo
Joan Sims | The Big Job (film) | actedIn
Foto-Kouamékro | Vallée du Bandama District | isLocatedIn
Harold D. Schuster | Frozen Justice | edited
Alberto Ramírez (Peruvian footballer) | FBC Melgar | isAffiliatedTo
